Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
LIC Housing Finance Ltd.,LICHSGFIN,1000.0,Finance,Finance - Housing,Mid Cap,799.55,0.52,29597000.0,1.43,0.4,0.44,7956000.0,4165000.0,0.52,-0.07,NewLong,"LICHSGFIN,",44.42,2024-07-03,0.027200000000000002
Tech Mahindra Ltd.,TECHM,600.0,Information Technology,IT - Software,Large Cap,1479.8,0.52,15947400.0,1.41,0.32,0.25,4252800.0,2920200.0,0.69,-0.06,NewLong,"TECHM,",38.3,2024-07-03,0.0354
Trent Ltd.,TRENT,200.0,Retailing,Retailing,Large Cap,5494.1,-0.76,3325600.0,1.41,0.52,0.47,1062200.0,661000.0,0.62,-0.04,NewShort,"TRENT,",48.11,2024-07-03,0.027000000000000003
Maruti Suzuki India Ltd.,MARUTI,50.0,Automobile & Ancillaries,Automobiles - Passenger Cars,Large Cap,12123.65,0.67,3552600.0,-1.31,0.5,0.47,2633350.0,1205350.0,0.46,-0.01,ShortCover,"MARUTI,",62.02,2024-07-03,0.0311
Balrampur Chini Mills Ltd.,BALRAMCHIN,1600.0,Agriculture,Sugar,Small Cap,428.95,-1.54,10308800.0,1.29,0.62,0.61,5008000.0,3846400.0,0.77,0.03,NewShort,"BALRAMCHIN,",37.92,2024-07-03,0.0315
GAIL (India) Ltd.,GAIL,4575.0,Industrials Gases & Fuels,Industrial  Gases & Fuels,Large Cap,220.14,-0.69,136321275.0,1.28,0.51,0.45,38631300.0,20646975.0,0.53,-0.02,NewShort,"GAIL,",44.88,2024-07-03,0.0275
Dr. Reddy's Laboratories Ltd.,DRREDDY,125.0,Healthcare,Pharmaceuticals & Drugs,Large Cap,6425.9,0.87,2689125.0,1.27,0.62,0.53,1367500.0,763500.0,0.56,0.0,NewLong,"DRREDDY,",46.19,2024-07-03,0.0176
United Spirits Ltd.,UNITDSPR,700.0,Alcohol,Breweries & Distilleries,Large Cap,1271.5,-0.27,10977400.0,1.21,0.72,0.82,1969100.0,986300.0,0.5,-0.07,NewShort,"UNITDSPR,",62.61,2024-07-03,0.0092
Indus Towers Ltd.,INDUSTOWER,3400.0,Telecom,Telecommunication - Service  Provider,Mid Cap,396.5,3.31,91847600.0,-1.2,0.42,0.36,22287000.0,16809600.0,0.75,-0.01,ShortCover,"INDUSTOWER,",43.29,2024-07-03,0.0378
Infosys Ltd.,INFY,400.0,Information Technology,IT - Software,Large Cap,1627.4,0.39,48733200.0,1.2,0.81,0.88,12077600.0,7628000.0,0.63,-0.01,NewLong,"INFY,",70.26,2024-07-03,0.0127
NTPC Ltd.,NTPC,1500.0,Power,Power Generation/Distribution,Large Cap,372.65,0.61,96468000.0,1.2,0.34,0.36,29703000.0,13737000.0,0.46,-0.01,NewLong,"NTPC,",58.71,2024-07-03,0.029300000000000003
Coal India Ltd.,COALINDIA,2100.0,Mining,Mining & Minerals,Large Cap,484.95,1.22,58044000.0,-1.19,0.68,0.57,24248700.0,14985600.0,0.62,-0.04,ShortCover,"COALINDIA,",42.51,2024-07-03,0.0533
Aditya Birla Capital Ltd.,ABCAPITAL,5400.0,Finance,Finance - NBFC,Mid Cap,237.56,0.42,65151000.0,1.16,0.43,0.42,25504200.0,17679600.0,0.69,-0.05,NewLong,"ABCAPITAL,",30.84,2024-07-03,0.022000000000000002
Aurobindo Pharma Ltd.,AUROPHARMA,550.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1238.8,2.12,12960750.0,-1.16,0.61,0.43,2427700.0,1981100.0,0.82,0.06,ShortCover,"AUROPHARMA,",48.65,2024-07-03,0.013999999999999999
Tata Communications Ltd.,TATACOMM,500.0,Telecom,Telecommunication - Service  Provider,Mid Cap,1894.75,0.28,7305000.0,1.16,1.23,1.06,2044000.0,1260500.0,0.62,0.04,AggressiveNewLong,"TATACOMM,",48.54,2024-07-03,0.021400000000000002
